#28,,38.074817,-78.876100
#21,,38.078033,-78.915717
#29,,38.073517,-78.878317
#26,,38.086600,-78.874433
#27,,38.073867,-78.874500
#25,,38.085017,-78.882950
#31,,38.071350,-78.877517
#30,,38.075083,-78.881833
#22,,38.077683,-78.914383
#24,,38.079550,-78.898100
#33,,38.067617,-78.881450
#20,,38.078650,-78.923467
#16,,38.081433,-78.949267
#32,,38.069733,-78.882550
#23,,38.080950,-78.900283
#19,,38.079483,-78.925033
#15,,38.081633,-78.923883
#34,,38.065717,-78.882583
#11,,38.082483,-78.932700
#49,,38.061700,-78.938583
#35,,38.034367,-78.923433
#9,,38.088450,-78.945117
#36,,38.032783,-78.935083
#50,,38.062617,-78.942367
#13,,38.082283,-78.918150
#37,,38.030850,-78.935367
#18,,38.079833,-78.929083
#17,,38.081250,-78.930600
#47,,38.060717,-78.943517
#14,,38.083983,-78.918150
#38,,38.029317,-78.935550
#10,,38.083967,-78.933833
#8,,38.103033,-78.974783
#48,,38.057867,-78.948983
#12,,38.098333,-78.920283
#39,,38.027350,-78.944800
#1,,38.086250,-78.985367
#5,,38.085583,-78.981750
#46,,38.056533,-78.956533
#7,,38.097617,-78.965983
#40,,38.032583,-78.946850
#51,,38.069883,-78.937800
#6,,38.092783,-78.976617
#42,,38.040717,-78.949267
#4,,38.092217,-78.993550
#41,,38.042367,-78.944617
#2,,38.087050,-78.987283
#45,,38.035300,-78.988833
#3,,38.089017,-78.988700
#44,,38.041233,-78.995950
#54,,38.076800,-78.994300
#43,,38.047200,-78.974067
#55,,38.086150,-78.000800
#52,,38.068550,-78.968550
#53,,38.075533,-78.983950
